url,city,deal_type,object_type,rooms,floor,floors_total,area_m2,price,currency,price_per_m2,creation_date,images_folder_url,urgent_tag
https://edc.sale/ru/sankt-peterburg/real-estate/rent/one-day/apartments/apartamenty-v-parke-gagarka-2136732.html,Sankt Peterburg,rent,apartments,,,,,9000.0,RUB,,29.09.2025,https://edc.sale/files/images/items/2136/,True
https://edc.sale/ru/sankt-peterburg/real-estate/sale/garages/garazh-betonnyj-2136694.html,Sankt Peterburg,sell,garages,,,,18.0,890000.0,RUB,49444.444444444445,29.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/ekaterinburg/real-estate/sale/apartments/studio/kvartira-studija-18-m2-212-etazh-2136651.html,Ekaterinburg,sell,apartments,1.0,2.0,12.0,18.0,5200000.0,RUB,288888.8888888889,29.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/kursk/real-estate/rent/one-day/apartments/sdam-posutochno-kvartiru-jevro-formata-2136582.html,Kursk,rent,apartments,2.0,,,,3300.0,RUB,,28.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/sochi/real-estate/sale/apartments/2/2-komn-kv-609-m2-812-etazh-2136544.html,Sochi,sell,apartments,2.0,8.0,12.0,60.9,20700000.0,RUB,339901.47783251235,28.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/staroshherbinovskaja/real-estate/sale/land/uchastok-10-sot-vozle-mora-2136532.html,Staroshherbinovskaja,sell,land,,,,1000.0,550000.0,RUB,550.0,28.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/rostov-na-donu/real-estate/sale/houses/dom-1-et-881-m2-125-sot-2136491.html,Rostov Na Donu,sell,houses,,,1.0,88.1,2700000.0,RUB,30646.992054483544,27.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/lipeck/real-estate/sale/apartments/3/3-komn-kv-629-m2-19-etazh-2136478.html,Lipeck,sell,apartments,3.0,1.0,9.0,62.9,5000000.0,RUB,79491.2559618442,27.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/perm/real-estate/sale/houses/dom-2-et-568-m2-1768-sot-2136475.html,Perm,sell,houses,,,2.0,56.8,2200000.0,RUB,38732.394366197186,27.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/zvenigorod/real-estate/rent/apartments/studio/kvartira-studija-245-m2-1011-etazh-2136468.html,Zvenigorod,rent,apartments,1.0,10.0,11.0,24.5,32000.0,RUB,1306.1224489795918,27.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/krasnodar/real-estate/sale/apartments/3/3-komn-kv-689-m2-1618-etazh-2136464.html,Krasnodar,sell,apartments,3.0,16.0,18.0,68.9,9999000.0,RUB,145123.36719883888,27.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/orenburg/real-estate/sale/houses/dom-1-et-613-m2-45-sot-2136434.html,Orenburg,sell,houses,,,1.0,61.3,6300000.0,RUB,102773.24632952693,27.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/orehovo-zujevo/real-estate/sale/apartments/2/2-komn-kv-551-m2-14-etazh-2136388.html,Orehovo Zujevo,sell,apartments,2.0,1.0,4.0,55.1,5900000.0,RUB,107078.03992740472,27.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/ishim/real-estate/sale/garages/garazh-v-ishime-2136360.html,Ishim,sell,garages,,,,,450000.0,RUB,,26.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/kazan/real-estate/sale/houses/dom-2-et-170-m2-48-sot-2136325.html,Kazan,sell,houses,,,2.0,170.0,70000000.0,RUB,411764.70588235295,26.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/saratov/real-estate/sale/houses/dom-2-et-387-m2-11-sot-2136324.html,Saratov,sell,houses,,,2.0,387.0,43000000.0,RUB,111111.11111111111,26.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/moskva/real-estate/sale/houses/dom-2-et-124-m2-112-sot-2136320.html,Moskva,sell,houses,,,2.0,124.0,21900000.0,RUB,176612.90322580645,26.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/simferopol/real-estate/sale/houses/dom-3-et-187-m2-6-sot-2136301.html,Simferopol,sell,houses,,,3.0,187.0,13000000.0,RUB,69518.71657754011,26.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/simferopol/real-estate/sale/land/prodam-uchastok-2136300.html,Simferopol,sell,land,,,,810.0,1050000.0,RUB,1296.2962962962963,26.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/yalta/real-estate/sale/land/uchastok-na-srednej-kose-berdanska-pod-stroitelstvo-doma-2136283.html,Yalta,sell,land,,,,608.0,4500000.0,RUB,7401.315789473684,26.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/gulkevichi/real-estate/sale/houses/dom-1-et-50-m2-7-sot-2136266.html,Gulkevichi,sell,houses,,,1.0,50.0,3800000.0,RUB,76000.0,25.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/sergijev-posad/real-estate/sale/land/prodajetsa-zemelnyj-uchastok-v-sergijevo-posadskom-gorodskom-okruge-2136257.html,Sergijev Posad,sell,land,,,,1200.0,650000.0,RUB,541.6666666666666,25.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/vidnoje/real-estate/rent/houses/dom-v-vidnom-na-arendu-2136235.html,Vidnoje,rent,houses,,,,156.0,100000.0,RUB,641.025641025641,25.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/sochi/real-estate/sale/apartments/1/1-komn-kv-379-m2-1919-etazh-2136229.html,Sochi,sell,apartments,1.0,19.0,19.0,37.9,8338000.0,RUB,220000.0,25.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/moskva/real-estate/rent/apartments/2/2-komn-kv-44-m2-59-etazh-2136228.html,Moskva,rent,apartments,2.0,5.0,9.0,44.0,55000.0,RUB,1250.0,25.09.2025,https://edc.sale/files/images/items/2136/,False
https://edc.sale/ru/vidnoje/real-estate/sale/houses/dom-2-et-584-m2-12-sot-2136165.html,Vidnoje,sell,houses,,,2.0,584.0,41800000.0,RUB,71575.34246575342,25.09.2025,https://edc.sale/files/images/items/2136/,False
