"text","label","author","category","original_id"
"To become what you are not, behave as you do not.","quote","T.S. Eliot","","42394f58"
"No one can confidently say that he will still be living tomorrow.","quote","Euripides","","0213f129"
"What do we live for, if it is not to make life less difficult for each other?","quote","George Eliot","","ce5cc86b"
"Sometimes you have to shut your eyes, so you can see the real beauty.","quote","Kilian Jornet","","6eefa3f3"
"Don't let your learning lead to knowledge. Let your learning lead to action.","quote","Jim Rohn","","f7803114"
"The impossible can always be broken down into possibilities.","quote","Unknown","","062a7424"
"Success is achieved and maintained by those who try and keep trying.","quote","W. Clement Stone","","53c85b7f"
"Quality is not an act, it is a habit.","quote","Aristotle","","71a88eaa"
"Where there is anger, there is always pain underneath.","quote","Eckhart Tolle","","f7dfdce8"
"Always forgive your enemies - nothing annoys them so much.","quote","Oscar Wilde","","7ad4d629"
"There are as many opinions as there are experts.","quote","Franklin D. Roosevelt","","a870d44d"
"Those who bring sunshine into the lives of others cannot keep it from themselves.","quote","James Matthew Barrie","","976815ab"
"Never argue with stupid people, they will drag you down to their level and then beat you with experience.","quote","Mark Twain","","0ec2017b"
"Remember to look up at the stars and not down at your feet.","quote","Stephen Hawking","","47bf6b59"
"Concentrate all your thoughts upon the work at hand. The sun's rays do not burn until brought to focus.","quote","Alexander Graham Bell","","c0f8621d"
"If we are not able to smile, then the world will not have peace.","quote","Thich Nhat Hanh","","b04331d2"
"The future doesn't belong to the faint-hearted; it belongs to the brave.","quote","Ronald Reagan","","17ec6e12"
"What worries you, masters you.","quote","John Locke","","867498fa"
"Where violence reigns, reason is weak.","quote","Nicolas Chamfort","","3fa53595"
"If we are honest with ourselves, most of us will have to admit that we live out our lives in an ocean of fear.","quote","Jon Kabat-Zinn","","2b0a8530"
"Follow your instincts. That is where true wisdom manifests itself.","quote","Oprah Winfrey","","7837e771"
"Far more crucial than what we know or do not know is what we do not want to know.","quote","Eric Hoffer","","97e7d74d"
"Turn your wounds into wisdom.","quote","Oprah Winfrey","","bad54e8c"
"Learn to sit back and observe, not everything needs a reaction.","quote","Unknown","","6902a311"
"Saying nothing sometimes says the most.","quote","Emily Dickinson","","262fe72d"
"Freedom from desire leads to inner peace.","quote","Lao Tzu","","135a053f"
"It is what we make out of what we have, not what we are given, that separates one person from another.","quote","Nelson Mandela","","9775dae7"
"Far and away the best prize that life has to offer is the chance to work hard at work worth doing.","quote","Theodore Roosevelt","","99e67eec"
"Faults are yours to fix, not to curse.","quote","Colin Powell","","81d41339"
"All problems are interpersonal relationship problems.","quote","Alfred Adler","","abe1d369"
"I no doubt deserved my enemies, but I don't believe I deserved my friends.","quote","Walt Whitman","","9458fb49"
"Life must be a constant education; one must learn everything, from speaking to dying.","quote","Gustave Flaubert","","31583d22"
"The joy of life comes from our encounters with new experiences.","quote","Christopher McCandless","","58374238"
"Teachers open the door. You enter by yourself.","quote","Chinese Proverb","","e5eb1128"
"The measure of who we are is what we do with what we have.","quote","Vince Lombardi","","ae5aaf8e"
"The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.","quote","Mark Twain","","afa66bf4"
"In order to carry a positive action, we must develop here a positive vision.","quote","Dalai Lama","","cb472503"
"Inspire yourself to be great. Being good isn't good enough.","quote","Gurbaksh Chahal","","fdbcd5e9"
"There are more people who wish to be loved than there are who are willing to love.","quote","Nicolas Chamfort","","591237a5"
"The biggest and only critic lives in your perception of people's perception of you rather than people's perception of you.","quote","Criss Jami","","7bafed42"
"Problems remain as problems because people are busy defending them rather than finding solutions.","quote","Celestine Chua","","928f16bb"
"People often say that motivation doesn't last. Well, neither does bathing - that's why we recommend it daily.","quote","Zig Ziglar","","a9b1b363"
"One's best success comes after their greatest disappointments.","quote","Henry Ward Beecher","","beea3abf"
"Where we fall are the stepping-stones for our journey.","quote","Lolly Daskal","","d3163fe0"
"Believe and you're halfway there.","quote","Harry S. Truman","","d6c7c89d"
"Emancipate yourself from mental slavery, none but ourselves can free our mind.","quote","Bob Marley","","683a1ff9"
"The world only exists in your eyes. You can make it as big or as small as you want.","quote","F. Scott Fitzgerald","","9b2ebb7b"
"You don't need anybody to tell you who you are or what you are. You are what you are!","quote","John Lennon","","8e5adab2"
"The world doesn't owe you anything. It was here first.","quote","Mark Twain","","952a7e5c"
"From a certain point onward there is no longer any turning back. That is the point that must be reached.","quote","Franz Kafka","","465a9c3a"
"Sometimes you put walls up not to keep people out, but to see who cares enough to break them down.","quote","Socrates","","7ddd8be2"
"A fool sees himself as another, but a wise man sees others as himself.","quote","Dogen","","674eb14c"
"The secret of getting started is breaking your complex, overwhelming tasks into small manageable tasks, and then starting on the first one.","quote","Mark Twain","","954ba4c3"
"The older you get, the better you get. Unless you're a banana.","quote","Betty White","","bc6c21a5"
