original_id,filename,file_path,artist,title,genre,downloaded_success
58548079,ИГРА МИРОВ - Рок.mp3,yandex_music_dataset/audio_files/ИГРА МИРОВ - Рок.mp3,ИГРА МИРОВ,Рок,rock,True
558,Black Eyed Peas - Rock That Body.mp3,yandex_music_dataset/audio_files/Black Eyed Peas - Rock That Body.mp3,Black Eyed Peas,Rock That Body,rock,True
103247532,BUSHIDO ZHO - Rock.mp3,yandex_music_dataset/audio_files/BUSHIDO ZHO - Rock.mp3,BUSHIDO ZHO,Rock,rock,True
1710811,Queen - We Will Rock You.mp3,yandex_music_dataset/audio_files/Queen - We Will Rock You.mp3,Queen,We Will Rock You,rock,True
53497069,Radek - Rock Bottom.mp3,yandex_music_dataset/audio_files/Radek - Rock Bottom.mp3,Radek,Rock Bottom,rock,True
29598557,Женя Любич - Рок.mp3,yandex_music_dataset/audio_files/Женя Любич - Рок.mp3,Женя Любич,Рок,rock,True
118939147,FRHAD - Rock Star.mp3,yandex_music_dataset/audio_files/FRHAD - Rock Star.mp3,FRHAD,Rock Star,rock,True
802,"Sparks - Rock, Rock, Rock.mp3","yandex_music_dataset/audio_files/Sparks - Rock, Rock, Rock.mp3",Sparks,"Rock, Rock, Rock",rock,True
113662,The Subways - Rock & Roll Queen.mp3,yandex_music_dataset/audio_files/The Subways - Rock & Roll Queen.mp3,The Subways,Rock & Roll Queen,rock,True
61206877,Bad Connection - Тяжёлый рок.mp3,yandex_music_dataset/audio_files/Bad Connection - Тяжёлый рок.mp3,Bad Connection,Тяжёлый рок,rock,True
140215411,Gordon - Rock That Body.mp3,yandex_music_dataset/audio_files/Gordon - Rock That Body.mp3,Gordon,Rock That Body,rock,True
140421443,KAZIOL - Rock Your Body.mp3,yandex_music_dataset/audio_files/KAZIOL - Rock Your Body.mp3,KAZIOL,Rock Your Body,rock,True
38081853,Ledur - Rock The Body.mp3,yandex_music_dataset/audio_files/Ledur - Rock The Body.mp3,Ledur,Rock The Body,rock,True
122963819,kets4eki - Rock Your Body.mp3,yandex_music_dataset/audio_files/kets4eki - Rock Your Body.mp3,kets4eki,Rock Your Body,rock,True
140849650,Lumarii - Rock That Body.mp3,yandex_music_dataset/audio_files/Lumarii - Rock That Body.mp3,Lumarii,Rock That Body,rock,True
8114387,ArthurKill - Rock Superstar.mp3,yandex_music_dataset/audio_files/ArthurKill - Rock Superstar.mp3,ArthurKill,Rock Superstar,rock,True
10184050,Rob Zombie - Rock And Roll (In A Black Hole).mp3,yandex_music_dataset/audio_files/Rob Zombie - Rock And Roll (In A Black Hole).mp3,Rob Zombie,Rock And Roll (In A Black Hole),rock,True
140280881,Raykirie - Im Rock.mp3,yandex_music_dataset/audio_files/Raykirie - Im Rock.mp3,Raykirie,Im Rock,rock,True
140384871,PureMiND - Rock That Body.mp3,yandex_music_dataset/audio_files/PureMiND - Rock That Body.mp3,PureMiND,Rock That Body,rock,True
28036304,Scorpions - Rock You Like a Hurricane.mp3,yandex_music_dataset/audio_files/Scorpions - Rock You Like a Hurricane.mp3,Scorpions,Rock You Like a Hurricane,rock,True
4348063,Black Moon - Outro.mp3,yandex_music_dataset/audio_files/Black Moon - Outro.mp3,Black Moon,Outro,rock,True
17386795,Hyjak - When We Roll Through.mp3,yandex_music_dataset/audio_files/Hyjak - When We Roll Through.mp3,Hyjak,When We Roll Through,rock,True
17783721,Shabaam Sahdeeq - Stuck off the Realness (feat. Rock of Heltah Skeltah).mp3,yandex_music_dataset/audio_files/Shabaam Sahdeeq - Stuck off the Realness (feat. Rock of Heltah Skeltah).mp3,Shabaam Sahdeeq,Stuck off the Realness (feat. Rock of Heltah Skeltah),rock,True
48853215,Aul purpis - Dirty Weapons.mp3,yandex_music_dataset/audio_files/Aul purpis - Dirty Weapons.mp3,Aul purpis,Dirty Weapons,rock,True
25310907,"Canibus - Bis & Sun Ruck & Rock (feat. Sean Price of Heltah Skeltah, Rock of Heltah Skeltah & Born Sun).mp3","yandex_music_dataset/audio_files/Canibus - Bis & Sun Ruck & Rock (feat. Sean Price of Heltah Skeltah, Rock of Heltah Skeltah & Born Sun).mp3",Canibus,"Bis & Sun Ruck & Rock (feat. Sean Price of Heltah Skeltah, Rock of Heltah Skeltah & Born Sun)",rock,True
45631446,AllinMixtapes - Remember Me.mp3,yandex_music_dataset/audio_files/AllinMixtapes - Remember Me.mp3,AllinMixtapes,Remember Me,rock,True
4350157,Smif-n-Wessun - Stomp Thru.mp3,yandex_music_dataset/audio_files/Smif-n-Wessun - Stomp Thru.mp3,Smif-n-Wessun,Stomp Thru,rock,True
